elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
0.024,0,0,0,46068
1.050,0,0,0,46068
2.077,0,0,0,46068
3.103,0,0,0,46068
4.129,0,0,0,46068
5.152,0,0,0,46068
6.180,0,0,0,46068
7.204,0,0,0,46068
8.229,0,0,0,46068
9.252,0,0,0,46068
10.278,0,0,0,46068
11.304,0,0,0,46068
12.330,0,0,0,46068
13.355,0,0,0,46068
14.379,0,0,0,46068
15.402,0,0,0,46068
16.425,0,0,0,46068
17.452,0,0,0,46068
18.475,0,0,0,46068
19.498,0,0,3,46068
20.523,0,0,3,46068
21.552,0,0,3,46068
22.578,0,0,3,46068
23.603,0,0,3,46068
24.628,0,0,3,46068
25.652,0,0,3,46068
26.678,0,0,3,46068
27.704,0,0,3,46068
28.799,0,0,3,46068
29.824,0,0,3,46068
30.849,0,0,3,46068
31.875,0,0,434,46068
32.903,0,0,434,46068
33.928,0,0,434,46068
34.955,0,0,434,46068
35.982,0,0,1130,46068
37.020,0,0,1178,46068
38.046,7,0,1232,46068
39.077,3,3,2960,46068
40.103,0,0,5120,46068
41.129,0,0,5120,46068
42.152,0,0,5120,46068
43.178,0,0,5120,46068
44.202,0,0,5120,46068
45.228,0,0,5120,46068
46.253,0,0,5120,46068
47.278,0,0,5120,46068
48.303,0,0,5120,46068
49.331,9,1,1472,46068
50.366,0,0,1472,46068
51.408,0,0,1472,46068
52.435,0,0,1472,46068
53.461,0,0,1472,46068
54.487,0,0,1472,46068
55.513,0,0,1472,46068
56.539,0,0,1472,46068
57.565,0,0,1472,46068
58.594,0,0,1472,46068
59.621,0,0,1472,46068
60.649,0,0,1472,46068
61.675,0,0,1472,46068
62.701,0,0,1472,46068
63.726,0,0,1472,46068
64.769,0,0,1472,46068
65.792,0,0,1472,46068
66.818,0,0,1472,46068
67.841,0,0,1472,46068
68.867,1,0,1472,46068
69.895,4,5,5586,46068
70.927,99,89,18470,46068
71.957,100,41,18470,46068
72.986,100,41,18470,46068
74.015,100,45,18470,46068
75.045,98,98,18478,46068
76.075,100,38,18478,46068
77.105,100,39,18478,46068
78.134,99,77,18478,46068
79.164,98,100,18478,46068
80.191,100,64,18478,46068
81.219,100,51,18478,46068
82.248,98,97,18478,46068
83.276,0,0,18478,46068
84.302,0,0,18478,46068
85.326,0,0,18478,46068
86.353,0,0,18478,46068
87.380,0,0,18478,46068
88.405,0,0,18478,46068
89.431,0,0,18478,46068
