_step,fixed_seq/train/psnr_frame_7,fixed_seq/train/ssim_frame_12,fixed_seq/val/psnr_frame_6,fixed_seq/train/mse_frame_1,fixed_seq/val/mse_frame_12,fixed_seq/val/mse_frame_6,fixed_seq/train/psnr_frame_12,fixed_seq/val/psnr_frame_10,fixed_seq/train/ssim_frame_0,fixed_seq/train/mse_frame_2,fixed_seq/val/ssim_frame_12,fixed_seq/val/psnr_frame_4,fixed_seq/val/ssim_frame_2,fixed_seq/train/mse_frame_8,fixed_seq/train/mse_frame_11,fixed_seq/train/ssim_frame_10,fixed_seq/train/mse_frame_3,fixed_seq/val/mse_frame_3,fixed_seq/val/mse_frame_2,fixed_seq/train/ssim_frame_1,fixed_seq/val/psnr_frame_1,fixed_seq/val/ssim_frame_3,fixed_seq/val/psnr_frame_3,fixed_seq/val/psnr_frame_2,fixed_seq/train/mse_frame_0,fixed_seq/val/mse_frame_4,fixed_seq/train/psnr_frame_9,fixed_seq/val/psnr_frame_12,fixed_seq/train/ssim_frame_3,fixed_seq/val/psnr_frame_0,fixed_seq/val/mse_frame_7,fixed_seq/val/mse_frame_9,fixed_seq/train/psnr_frame_10,fixed_seq/train/ssim_frame_7,fixed_seq/epoch,fixed_seq/val/ssim_frame_8,fixed_seq/val/ssim_frame_7,fixed_seq/val/ssim_frame_1,fixed_seq/val/ssim_frame_10,fixed_seq/train/mse_frame_7,fixed_seq/val/psnr_frame_9,fixed_seq/val/ssim_frame_9,fixed_seq/train/psnr_frame_0,fixed_seq/train/mse_frame_12,fixed_seq/train/ssim_frame_5,fixed_seq/train/psnr_frame_11,fixed_seq/val/ssim_frame_0,fixed_seq/val/psnr_frame_11,fixed_seq/train/mse_frame_4,fixed_seq/val/mse_frame_0,fixed_seq/train/ssim_frame_2,fixed_seq/train/ssim_frame_9,fixed_seq/val/ssim_frame_6,fixed_seq/val/mse_frame_8,fixed_seq/train/psnr_frame_2,fixed_seq/train/mse_frame_6,fixed_seq/val/mse_frame_10,fixed_seq/train/ssim_frame_6,fixed_seq/val/ssim_frame_4,fixed_seq/train/ssim_frame_11,fixed_seq/train/psnr_frame_6,fixed_seq/train/ssim_frame_4,fixed_seq/val/ssim_frame_5,fixed_seq/train/mse_frame_5,fixed_seq/val/psnr_frame_5,fixed_seq/val/mse_frame_11,fixed_seq/train/mse_frame_9,fixed_seq/train/psnr_frame_4,fixed_seq/val/mse_frame_5,fixed_seq/val/psnr_frame_8,fixed_seq/train/psnr_frame_1,fixed_seq/train/psnr_frame_8,fixed_seq/train/psnr_frame_3,fixed_seq/train/ssim_frame_8,fixed_seq/val/ssim_frame_11,fixed_seq/name,fixed_seq/val/mse_frame_1,fixed_seq/val/psnr_frame_7,fixed_seq/train/mse_frame_10,fixed_seq/train/psnr_frame_5
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
